question_id,question,options,correct_answer,model_answer,is_correct,bleu,f1,response_time,error_message
1,حكم الطهارة لمن أراد أداء الصلاة:,"أ: واجبة بإجماع المسلمين
ب: مستحبة عند جمهور العلماء
ج: سنة مؤكدة",أ, الإجابة: أ: واجبة بإجماع المسلمين ,True,0.008176856499690712,1.0,19.108840703964233,
2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,"أ: محرم بإجماع العلماء
ب: جائز بإجماع العلماء
ج: مكروه عند جمهور العلماء",ب, الإجابة: ب: جائز بإجماع العلماء ,True,0.008588486560503192,1.0,3.4226043224334717,
3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,"أ: محرم بإجماع العلماء
ب: مكروه عند الجمهور
ج: جائز بإجماع العلماء",ج, الإجابة: ب: مكروه عند الجمهور ,False,0.009048295247234425,0.0,3.8109793663024902,
4,حكم ماء البحر للوضوء:,"أ: طهور بإجماع العلماء
ب: نجس بإجماع العلماء
ج: مكروه للوضوء",أ, الإجابة: أ: طهور بإجماع العلماء ,True,0.008588486560503192,1.0,4.285033702850342,
5,حكم الوضوء بالمائعات غير الماء:,"أ: جائز بإجماع العلماء
ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف)
ج: مستحب عند الحاجة",ب, الإجابة: ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف) ,True,0.005354194904142114,1.0,3.4166085720062256,
6,حكم الاستنجاء بالماء:,"أ: واجب بإجماع العلماء
ب: جائز ومجمع عليه
ج: مستحب عند الجمهور",ب, الإجابة: أ: واجب بإجماع العلماء ,True,0.008588486560503192,1.0,1.2073180675506592,
7,حكم الاستجمار بالأحجار:,"أ: محرم بإجماع العلماء
ب: جائز ومجمع عليه
ج: مكروه عند الجمهور",ب, الإجابة: ب: جائز ومجمع عليه ,True,0.009565665109256835,1.0,1.3957865238189697,
8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,"أ: محرم بإجماع العلماء
ب: جائز ومجمع عليه
ج: مكروه عند الجمهور",ب, الإجابة: ب: جائز ومجمع عليه ,True,0.009565665109256835,1.0,1.3620545864105225,
9,حكم الاستجمار بغير الحجارة:,"أ: محرم بإجماع العلماء
ب: جائز بالطاهر المنقي ما لم يكن طعاماً
ج: واجب استخدام الحجارة فقط",ب, الإجابة: ب: جائز بالطاهر المنقي ما لم يكن طعاماً ,True,0.006065997938636506,1.0,1.8105595111846924,
10,حكم الاستجمار مع وجود الماء:,"أ: محرم مع وجود الماء
ب: جائز ومجمع عليه
ج: مكروه مع وجود الماء",ب, الإجابة: أ: محرم مع وجود الماء ,False,0.008811835296733616,0.0,1.3042457103729248,
